,Perfil,ID_Func,Idade,Atrito,Departamento,Grau Instrução,Especialidade,Satisfação Ambiente,Gênero,Envolvimento,Cargo,Satisfação Trabalho,Estado Civil,Renda,Relacionamento,Balanço Vida-Profissão,Análise Ambiente,Análise Envolvimento,Análise Trabalho,Análise Relacionamento,Análise Balanço Vida-Profissão
798,Perfil 3,798,33,Sim,P & D,Pos_Graduado,Médico,Baixa,Masculino,Médio,Pesquisa_Cientifica,Média,Solteiro,2313,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
799,Perfil 6,799,42,Não,P & D,Faculdade,Médico,Muito Alta,Masculino,Alto,Gerente,Baixa,Casado,17665,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
800,Perfil 3,800,28,Sim,P & D,Pos_Graduado,Médico,Baixa,Masculino,Médio,Tecnico_Lab,Média,Divorciado,2596,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
801,Perfil 2,801,50,Sim,Vendas,Mestrado,Outros,Muito Alta,Masculino,Alto,Executivo_Vendas,Alta,Solteiro,4728,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
802,Perfil 6,802,33,Não,Vendas,Pos_Graduado,Biologia,Muito Alta,Feminino,Alto,Executivo_Vendas,Média,Casado,4302,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
803,Perfil 5,803,34,Não,P & D,Mestrado,Biologia,Alta,Masculino,Médio,Pesquisa_Cientifica,Muito Alta,Casado,2979,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
804,Perfil 3,804,48,Não,P & D,Mestrado,Médico,Baixa,Masculino,Muito Alto,Gerente,Muito Alta,Solteiro,16885,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
805,Perfil 5,805,45,Não,Vendas,Mestrado,Biologia,Média,Feminino,Médio,Executivo_Vendas,Alta,Casado,5593,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
806,Perfil 3,806,52,Não,P & D,Mestrado,Biologia,Média,Masculino,Alto,Repres_Saúde,Média,Solteiro,10445,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
807,Perfil 5,807,38,Não,Vendas,Mestrado,Marketing,Alta,Masculino,Médio,Executivo_Vendas,Alta,Divorciado,8740,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
808,Perfil 4,808,29,Não,P & D,Mestrado,Biologia,Alta,Feminino,Alto,Pesquisa_Cientifica,Muito Alta,Divorciado,2514,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
809,Perfil 1,809,28,Não,P & D,Pos_Graduado,Médico,Muito Alta,Feminino,Alto,Diretor_Manufatura,Média,Divorciado,7655,Médio,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
810,Perfil 3,810,46,Não,Vendas,Ensino_Mèdio,Marketing,Baixa,Masculino,Alto,Gerente,Alta,Casado,17465,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
811,Perfil 6,811,38,Não,Vendas,Faculdade,Marketing,Muito Alta,Masculino,Alto,Executivo_Vendas,Média,Solteiro,7351,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
812,Perfil 6,812,43,Não,P & D,Pos_Graduado,Biologia,Alta,Feminino,Alto,Diretor_Manufatura,Baixa,Casado,10820,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
813,Perfil 3,813,39,Sim,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Alto,Repres_Saúde,Muito Alta,Divorciado,12169,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
814,Perfil 4,814,40,Não,P & D,Pos_Graduado,Médico,Alta,Masculino,Médio,Diretor_Pesquisa,Alta,Solteiro,19626,Baixo,Muito Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
815,Perfil 6,815,21,Não,P & D,Ensino_Mèdio,Tech,Muito Alta,Feminino,Médio,Pesquisa_Cientifica,Média,Solteiro,2070,Alto,Muito Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
816,Perfil 1,816,39,Não,P & D,Pos_Graduado,Biologia,Alta,Masculino,Alto,Tecnico_Lab,Média,Solteiro,6782,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
817,Perfil 3,817,36,Não,P & D,Mestrado,Biologia,Baixa,Masculino,Alto,Diretor_Manufatura,Muito Alta,Solteiro,7779,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
818,Perfil 4,818,31,Não,Vendas,Pos_Graduado,Biologia,Alta,Masculino,Muito Alto,Repres_Vendas,Muito Alta,Casado,2791,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
819,Perfil 1,819,28,Não,P & D,Ensino_Mèdio,Biologia,Baixa,Masculino,Médio,Pesquisa_Cientifica,Média,Casado,3201,Baixo,Baixa,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
820,Perfil 2,820,35,Não,Vendas,Faculdade,Marketing,Muito Alta,Masculino,Alto,Executivo_Vendas,Muito Alta,Divorciado,4968,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
821,Perfil 4,821,49,Não,Vendas,Mestrado,Tech,Muito Alta,Masculino,Médio,Executivo_Vendas,Média,Casado,13120,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
822,Perfil 1,822,34,Não,P & D,Faculdade,Biologia,Muito Alta,Masculino,Alto,Diretor_Manufatura,Alta,Solteiro,4033,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
823,Perfil 1,823,29,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Feminino,Alto,Pesquisa_Cientifica,Média,Divorciado,3291,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
824,Perfil 5,824,42,Não,P & D,Pos_Graduado,Médico,Média,Masculino,Baixo,Tecnico_Lab,Muito Alta,Solteiro,4272,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
825,Perfil 5,825,29,Não,P & D,Ensino_Mèdio,Médico,Média,Masculino,Médio,Diretor_Manufatura,Muito Alta,Casado,5056,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
826,Perfil 2,826,38,Não,RH,Pos_Graduado,Recursos_Humanos,Alta,Masculino,Muito Alto,Human Resources,Alta,Casado,2844,Muito Alto,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
827,Perfil 5,827,28,Não,P & D,Pos_Graduado,Biologia,Alta,Masculino,Médio,Pesquisa_Cientifica,Alta,Divorciado,2703,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
828,Perfil 2,828,18,Sim,P & D,Ensino_Mèdio,Médico,Alta,Masculino,Alto,Tecnico_Lab,Alta,Solteiro,1904,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
829,Perfil 3,829,33,Sim,Vendas,Mestrado,Marketing,Baixa,Feminino,Alto,Executivo_Vendas,Baixa,Solteiro,8224,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
830,Perfil 4,830,41,Não,P & D,Mestrado,Biologia,Média,Masculino,Alto,Tecnico_Lab,Muito Alta,Casado,4766,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
831,Perfil 1,831,31,Sim,P & D,Pos_Graduado,Médico,Alta,Masculino,Alto,Tecnico_Lab,Alta,Casado,2610,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
832,Perfil 5,832,37,Não,P & D,Faculdade,Médico,Alta,Feminino,Médio,Repres_Saúde,Muito Alta,Divorciado,5731,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
833,Perfil 2,833,27,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Médio,Pesquisa_Cientifica,Alta,Casado,2539,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
834,Perfil 4,834,34,Não,Vendas,Ensino_Mèdio,Biologia,Média,Feminino,Alto,Executivo_Vendas,Alta,Casado,5714,Baixo,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
835,Perfil 1,835,35,Não,RH,Mestrado,Tech,Alta,Masculino,Alto,Human Resources,Alta,Solteiro,4323,Médio,Baixa,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
836,Perfil 1,836,29,Sim,Vendas,Ensino_Mèdio,Biologia,Muito Alta,Feminino,Médio,Executivo_Vendas,Baixa,Casado,7336,Baixo,Baixa,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
837,Perfil 1,837,40,Não,P & D,Mestrado,Médico,Média,Feminino,Alto,Diretor_Pesquisa,Alta,Solteiro,13499,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
838,Perfil 6,838,42,Sim,Vendas,Pos_Graduado,Biologia,Alta,Masculino,Alto,Executivo_Vendas,Baixa,Solteiro,13758,Médio,Média,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
839,Perfil 6,839,42,Não,Vendas,Mestrado,Marketing,Média,Masculino,Alto,Executivo_Vendas,Baixa,Solteiro,5155,Muito Alto,Muito Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
840,Perfil 4,840,35,Não,P & D,Mestrado,Médico,Muito Alta,Masculino,Médio,Tecnico_Lab,Alta,Casado,2258,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
841,Perfil 6,841,24,Não,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Alto,Tecnico_Lab,Média,Solteiro,3597,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
842,Perfil 1,842,28,Sim,P & D,Ensino_Mèdio,Biologia,Alta,Feminino,Alto,Tecnico_Lab,Muito Alta,Casado,2515,Muito Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
843,Perfil 3,843,26,Não,P & D,Mestrado,Médico,Baixa,Masculino,Muito Alto,Tecnico_Lab,Muito Alta,Casado,4420,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
844,Perfil 4,844,30,Não,Vendas,Pos_Graduado,Marketing,Alta,Masculino,Médio,Executivo_Vendas,Alta,Casado,6578,Baixo,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
845,Perfil 1,845,40,Não,P & D,Faculdade,Médico,Alta,Feminino,Médio,Pesquisa_Cientifica,Muito Alta,Casado,4422,Muito Alto,Baixa,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
846,Perfil 4,846,35,Não,P & D,Pos_Graduado,Biologia,Alta,Masculino,Médio,Diretor_Manufatura,Média,Divorciado,10274,Médio,Muito Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
847,Perfil 6,847,34,Não,P & D,Pos_Graduado,Médico,Muito Alta,Masculino,Médio,Repres_Saúde,Baixa,Solteiro,5343,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
848,Perfil 2,848,35,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Médio,Tecnico_Lab,Muito Alta,Casado,2376,Médio,Muito Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
849,Perfil 5,849,43,Sim,Vendas,Pos_Graduado,Marketing,Baixa,Feminino,Baixo,Executivo_Vendas,Alta,Solteiro,5346,Médio,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
850,Perfil 6,850,32,Não,Vendas,Ensino_Mèdio,Biologia,Alta,Feminino,Alto,Repres_Vendas,Baixa,Divorciado,2827,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
851,Perfil 6,851,56,Não,P & D,Mestrado,Tech,Muito Alta,Feminino,Alto,Gerente,Baixa,Divorciado,19943,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
852,Perfil 4,852,29,Não,P & D,Ensino_Mèdio,Médico,Média,Feminino,Alto,Tecnico_Lab,Muito Alta,Casado,3131,Baixo,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
853,Perfil 6,853,19,Não,P & D,Faculdade,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Baixa,Solteiro,2552,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
854,Perfil 3,854,45,Não,P & D,Pos_Graduado,Médico,Baixa,Feminino,Alto,Pesquisa_Cientifica,Alta,Casado,4477,Alto,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
855,Perfil 1,855,37,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Feminino,Médio,Diretor_Manufatura,Muito Alta,Casado,6474,Médio,Média,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
856,Perfil 5,856,20,Não,P & D,Pos_Graduado,Biologia,Baixa,Masculino,Médio,Tecnico_Lab,Alta,Solteiro,3033,Baixo,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
857,Perfil 2,857,44,Sim,P & D,Mestrado,Biologia,Alta,Masculino,Alto,Pesquisa_Cientifica,Alta,Solteiro,2936,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
858,Perfil 4,858,53,Não,P & D,Faculdade,Médico,Muito Alta,Feminino,Alto,Gerente,Alta,Divorciado,18606,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
859,Perfil 5,859,29,Não,P & D,Ensino_Mèdio,Biologia,Média,Feminino,Baixo,Pesquisa_Cientifica,Muito Alta,Casado,2168,Baixo,Média,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
860,Perfil 5,860,22,Sim,P & D,Mestrado,Biologia,Alta,Masculino,Médio,Pesquisa_Cientifica,Muito Alta,Casado,2853,Médio,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
861,Perfil 4,861,46,Não,Vendas,Pos_Graduado,Marketing,Alta,Feminino,Alto,Gerente,Baixa,Casado,17048,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
862,Perfil 5,862,44,Não,P & D,Pos_Graduado,Biologia,Muito Alta,Masculino,Baixo,Pesquisa_Cientifica,Alta,Solteiro,2290,Muito Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
863,Perfil 3,863,33,Não,RH,Pos_Graduado,Recursos_Humanos,Média,Masculino,Alto,Human Resources,Alta,Casado,3600,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
864,Perfil 1,864,41,Sim,P & D,Faculdade,Biologia,Baixa,Masculino,Médio,Pesquisa_Cientifica,Baixa,Divorciado,2107,Baixo,Baixa,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
865,Perfil 6,865,30,Não,Vendas,Mestrado,Biologia,Alta,Masculino,Alto,Executivo_Vendas,Baixa,Divorciado,4115,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
866,Perfil 3,866,40,Não,Vendas,Mestrado,Médico,Média,Masculino,Alto,Executivo_Vendas,Média,Casado,4327,Muito Alto,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
867,Perfil 6,867,50,Não,P & D,Pos_Graduado,Médico,Muito Alta,Feminino,Alto,Gerente,Baixa,Casado,17856,Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
868,Perfil 6,868,28,Não,P & D,Mestrado,Médico,Muito Alta,Masculino,Médio,Tecnico_Lab,Baixa,Casado,3196,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
869,Perfil 4,869,46,Não,P & D,Faculdade,Biologia,Muito Alta,Masculino,Alto,Diretor_Pesquisa,Média,Casado,19081,Baixo,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
870,Perfil 6,870,35,Não,Vendas,Mestrado,Biologia,Alta,Masculino,Alto,Executivo_Vendas,Baixa,Casado,8966,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
871,Perfil 1,871,24,Sim,P & D,Faculdade,Biologia,Muito Alta,Feminino,Alto,Tecnico_Lab,Média,Casado,2210,Baixo,Baixa,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
872,Perfil 4,872,33,Não,Vendas,Pos_Graduado,Médico,Média,Feminino,Alto,Executivo_Vendas,Alta,Casado,4539,Baixo,Média,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
873,Perfil 5,873,36,Não,P & D,Mestrado,Biologia,Alta,Masculino,Baixo,Tecnico_Lab,Alta,Divorciado,2741,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
874,Perfil 4,874,30,Não,P & D,Mestrado,Biologia,Alta,Masculino,Alto,Tecnico_Lab,Alta,Divorciado,3491,Baixo,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
875,Perfil 2,875,44,Não,P & D,Mestrado,Outros,Muito Alta,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Solteiro,4541,Médio,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
876,Perfil 2,876,20,Não,Vendas,Pos_Graduado,Marketing,Alta,Masculino,Muito Alto,Repres_Vendas,Muito Alta,Solteiro,2678,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
877,Perfil 1,877,46,Não,P & D,Mestrado,Tech,Muito Alta,Masculino,Alto,Diretor_Manufatura,Muito Alta,Divorciado,7379,Alto,Média,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Colaborador apresenta algum desequilibrio entre vida pessoal  profissional
878,Perfil 4,878,42,Não,RH,Doutorado,Médico,Muito Alta,Masculino,Muito Alto,Human Resources,Baixa,Casado,6272,Baixo,Muito Alta,Satisfeito com o ambiente,Bom envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
879,Perfil 3,879,60,Não,Vendas,Mestrado,Marketing,Média,Masculino,Muito Alto,Executivo_Vendas,Muito Alta,Divorciado,5220,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
880,Perfil 6,880,32,Não,P & D,Pos_Graduado,Outros,Alta,Feminino,Médio,Tecnico_Lab,Média,Casado,2743,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
881,Perfil 2,881,32,Não,P & D,Faculdade,Biologia,Muito Alta,Feminino,Alto,Pesquisa_Cientifica,Alta,Solteiro,4998,Muito Alto,Alta,Satisfeito com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
882,Perfil 5,882,36,Não,P & D,Pos_Graduado,Tech,Alta,Feminino,Baixo,Diretor_Manufatura,Baixa,Divorciado,10252,Alto,Alta,Satisfeito com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Bom relacionamento,Vida pessoal e profissional bem equilibrada
883,Perfil 3,883,33,Não,P & D,Pos_Graduado,Médico,Baixa,Masculino,Alto,Pesquisa_Cientifica,Muito Alta,Casado,2781,Médio,Alta,Colaborador com alguma insatisfação com o ambiente,Bom envolvimento,Satisfeito com o trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
884,Perfil 5,884,40,Não,Vendas,Pos_Graduado,Tech,Média,Feminino,Médio,Executivo_Vendas,Média,Divorciado,6852,Médio,Muito Alta,Colaborador com alguma insatisfação com o ambiente,Colaborador com algum problema de envolvimento,Colaborador com alguma insatisfação no trabalho,Colaborador com algum problema de relacionamento,Vida pessoal e profissional bem equilibrada
